# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.29
2                       0.31
4                       0.31
8                       0.32
16                      0.29
32                      0.29
64                      0.31
128                     0.32
256                     0.35
512                     0.38
1024                    0.42
2048                    0.49
4096                    1.08
8192                    1.30
16384                   1.88
32768                   2.92
65536                   4.48
131072                  7.27
262144                 14.16
524288                 28.01
1048576                55.17
2097152               115.30
4194304               258.62
