# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.29
2                       0.29
4                       0.30
8                       0.28
16                      0.27
32                      0.29
64                      0.27
128                     0.28
256                     0.30
512                     0.31
1024                    0.33
2048                    0.40
4096                    0.79
8192                    1.09
16384                   1.68
32768                   2.73
65536                   4.14
131072                  6.74
262144                 12.66
524288                 25.33
1048576                49.66
2097152               103.31
4194304               249.90
