# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.31
2                       0.31
4                       0.30
8                       0.30
16                      0.31
32                      0.32
64                      0.30
128                     0.33
256                     0.35
512                     0.39
1024                    0.39
2048                    0.48
4096                    1.04
8192                    1.32
16384                   1.90
32768                   3.00
65536                   4.45
131072                  7.04
262144                 14.08
524288                 27.83
1048576                55.10
2097152               114.99
4194304               257.48
