# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       4.98
2                       9.95
4                      20.14
8                      40.37
16                     80.79
32                    159.79
64                    317.11
128                   624.13
256                  1237.90
512                  2007.34
1024                 3957.88
2048                 6957.52
4096                 6023.59
8192                10094.49
16384               16570.06
32768               22937.03
65536               27012.34
131072              29497.96
262144              30583.40
524288              31202.13
1048576             31657.07
2097152             31848.66
4194304             31752.54
