# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       7.63        7626894.24
2                      15.70        7850289.10
4                      31.42        7853819.80
8                      61.97        7746392.78
16                    123.67        7729129.75
32                    254.02        7938141.04
64                    485.56        7586798.31
128                   983.21        7681307.36
256                  1735.54        6779448.44
512                  3046.62        5950421.28
1024                 5744.29        5609654.64
2048                 9508.95        4643040.84
4096                 8349.05        2038342.30
8192                13571.73        1656705.55
16384               22608.93        1379939.70
32768               28235.53         861679.96
65536               31751.59         484490.85
131072              34377.48         262279.34
262144              34253.14         130665.35
524288              36587.85          69785.78
1048576             36976.68          35263.71
2097152             37162.58          17720.50
4194304             35236.56           8401.05
