# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.27
2                       0.28
4                       0.28
8                       0.27
16                      0.29
32                      0.27
64                      0.27
128                     0.29
256                     0.31
512                     0.31
1024                    0.33
2048                    0.41
4096                    0.79
8192                    1.11
16384                   1.66
32768                   2.75
65536                   4.18
131072                  6.81
262144                 12.91
524288                 25.55
1048576                49.71
2097152               103.22
4194304               246.99
