# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       4.24        4242997.25
2                       8.58        4287890.87
4                      17.14        4285857.59
8                      34.29        4286186.53
16                     68.71        4294370.22
32                    137.38        4293107.05
64                    268.41        4193873.33
128                   510.86        3991071.72
256                   996.96        3894370.79
512                  1873.99        3660144.18
1024                 3711.94        3624941.16
2048                 6647.29        3245745.54
4096                 5902.46        1441030.52
8192                 9992.04        1219731.48
16384               16482.66        1006021.65
32768               23180.92         707425.57
65536               27005.51         412071.37
131072              29238.33         223070.72
262144              30637.46         116872.63
524288              31272.57          59647.70
1048576             33599.77          32043.24
2097152             31940.62          15230.47
4194304             31880.89           7601.00
