# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       5.06
2                      10.04
4                      20.25
8                      40.28
16                     80.65
32                    160.57
64                    316.26
128                   629.46
256                  1253.80
512                  2017.90
1024                 3914.83
2048                 6786.68
4096                 5916.51
8192                 9894.86
16384               16240.52
32768               23317.74
65536               27051.68
131072              29401.56
262144              30742.97
524288              32008.26
1048576             33169.55
2097152             31802.57
4194304             31711.06
