# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.87
2                      17.79
4                      33.53
8                      69.39
16                    137.66
32                    272.08
64                    552.01
128                  1020.11
256                  1856.19
512                  2981.96
1024                 5573.42
2048                 9016.99
4096                 8311.07
8192                13388.49
16384               22144.72
32768               28466.37
65536               31955.08
131072              33416.19
262144              34340.36
524288              34917.14
1048576             35184.04
2097152             35405.36
4194304             35289.28
