# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.29
2                       0.28
4                       0.29
8                       0.28
16                      0.28
32                      0.31
64                      0.29
128                     0.28
256                     0.31
512                     0.33
1024                    0.33
2048                    0.39
4096                    0.80
8192                    1.11
16384                   1.67
32768                   2.74
65536                   4.14
131072                  6.63
262144                 12.69
524288                 25.37
1048576                49.71
2097152               104.58
4194304               250.79
