# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       7.69        7689099.90
2                      15.44        7719679.15
4                      31.74        7935080.13
8                      62.38        7796961.28
16                    123.65        7728321.48
32                    243.55        7610926.58
64                    495.62        7743994.20
128                   951.88        7436538.15
256                  1727.48        6747955.63
512                  3036.15        5929986.87
1024                 5725.99        5591791.04
2048                 9116.53        4451431.34
4096                 8373.02        2044194.33
8192                13643.28        1665439.01
16384               22088.99        1348204.73
32768               28297.34         863566.43
65536               31882.42         486487.19
131072              33337.55         254345.34
262144              34266.24         130715.32
524288              35043.19          66839.59
1048576             35271.98          33637.98
2097152             35414.77          16887.08
4194304             35344.59           8426.81
