# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.29
2                       0.29
4                       0.30
8                       0.31
16                      0.32
32                      0.30
64                      0.32
128                     0.33
256                     0.34
512                     0.38
1024                    0.40
2048                    0.47
4096                    1.06
8192                    1.32
16384                   1.87
32768                   2.92
65536                   4.45
131072                  7.20
262144                 14.13
524288                 27.91
1048576                55.03
2097152               115.00
4194304               256.66
