# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       4.12        4115596.03
2                       8.26        4130143.93
4                      16.33        4083144.30
8                      32.97        4121010.64
16                     65.68        4105302.81
32                    131.15        4098490.05
64                    258.71        4042398.70
128                   487.48        3808431.61
256                   963.17        3762389.14
512                  1776.09        3468935.09
1024                 3703.72        3616914.91
2048                 6651.60        3247852.89
4096                 5821.70        1421314.29
8192                 9729.26        1187653.81
16384               16081.42         981532.27
32768               23189.49         707687.21
65536               27065.54         412987.34
131072              29438.04         224594.44
262144              30682.94         117046.14
524288              31452.33          59990.56
1048576             31716.17          30246.89
2097152             31979.50          15249.02
4194304             31963.63           7620.72
