# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       9.02
2                      17.75
4                      34.78
8                      69.92
16                    139.20
32                    275.39
64                    549.26
128                  1008.03
256                  1869.27
512                  3092.76
1024                 5574.44
2048                 9385.59
4096                 8445.47
8192                13444.89
16384               21876.36
32768               28512.72
65536               31931.14
131072              33364.22
262144              35052.08
524288              36432.40
1048576             36707.87
2097152             36961.21
4194304             35190.44
