# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       7.78        7780787.02
2                      15.82        7909030.33
4                      32.73        8181436.65
8                      64.98        8122283.00
16                    126.67        7917180.36
32                    258.38        8074231.46
64                    504.52        7883200.53
128                   961.82        7514257.72
256                  1717.86        6710401.01
512                  3050.03        5957098.10
1024                 5725.36        5591169.17
2048                 9444.12        4611386.57
4096                 8376.37        2045012.91
8192                13637.54        1664738.17
16384               21908.20        1337170.29
32768               28173.32         859781.42
65536               31857.60         486108.47
131072              33345.49         254405.88
262144              34334.96         130977.49
524288              35623.81          67947.03
1048576             37075.12          35357.59
2097152             35435.34          16896.89
4194304             35311.55           8418.93
