# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.92
2                      17.76
4                      33.64
8                      68.87
16                    136.92
32                    273.03
64                    548.81
128                  1017.80
256                  1832.59
512                  2975.74
1024                 5560.81
2048                 9025.86
4096                 8330.19
8192                13360.51
16384               22023.36
32768               28498.79
65536               31986.06
131072              33408.58
262144              34190.92
524288              34904.60
1048576             35272.54
2097152             35420.49
4194304             35211.44
