# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.83
2                      17.63
4                      34.42
8                      69.55
16                    138.96
32                    271.99
64                    548.57
128                  1009.66
256                  1839.92
512                  2985.93
1024                 5544.79
2048                 9053.35
4096                 8368.00
8192                13409.89
16384               22197.97
32768               28483.90
65536               31971.91
131072              33379.96
262144              34194.30
524288              34917.12
1048576             35220.97
2097152             35394.33
4194304             35148.18
