# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.87
2                      17.89
4                      34.04
8                      69.76
16                    138.06
32                    277.30
64                    550.85
128                  1003.62
256                  1856.78
512                  2968.23
1024                 5557.24
2048                 9042.88
4096                 8280.01
8192                13230.44
16384               22108.78
32768               28369.41
65536               31771.79
131072              33317.18
262144              34643.97
524288              36237.46
1048576             36446.36
2097152             36940.20
4194304             34864.63
