# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.82
2                      17.71
4                      33.69
8                      69.33
16                    137.24
32                    272.12
64                    548.37
128                  1012.05
256                  1876.11
512                  3039.95
1024                 5509.73
2048                 9282.56
4096                 8348.05
8192                13430.56
16384               22128.58
32768               28390.36
65536               31773.01
131072              33421.13
262144              34367.89
524288              34979.88
1048576             35289.95
2097152             35435.86
4194304             35243.55
