# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.27
2                       0.29
4                       0.27
8                       0.27
16                      0.29
32                      0.28
64                      0.27
128                     0.27
256                     0.33
512                     0.31
1024                    0.33
2048                    0.39
4096                    0.80
8192                    1.09
16384                   1.68
32768                   2.72
65536                   4.14
131072                  6.75
262144                 12.88
524288                 25.58
1048576                49.88
2097152               103.56
4194304               250.01
