# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.92
2                      17.70
4                      33.69
8                      69.26
16                    140.08
32                    275.33
64                    558.71
128                  1012.20
256                  1850.68
512                  3023.36
1024                 5614.02
2048                 9033.47
4096                 8311.26
8192                13422.78
16384               22109.71
32768               28450.43
65536               31976.29
131072              33456.93
262144              34795.58
524288              36408.07
1048576             36678.19
2097152             36417.05
4194304             35177.36
