# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       5.02
2                       9.94
4                      20.23
8                      40.40
16                     80.56
32                    160.62
64                    318.25
128                   623.58
256                  1234.98
512                  2013.55
1024                 3950.14
2048                 6971.44
4096                 5936.05
8192                 9872.08
16384               16495.65
32768               22904.08
65536               26952.05
131072              29534.66
262144              30714.17
524288              31337.64
1048576             31637.69
2097152             31858.55
4194304             31835.08
