# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       7.87        7865509.62
2                      15.41        7704991.29
4                      32.11        8027308.90
8                      61.39        7673893.12
16                    125.75        7859266.09
32                    259.43        8107171.74
64                    521.04        8141194.78
128                   939.80        7342188.55
256                  1716.65        6705671.32
512                  3054.29        5965410.31
1024                 5690.39        5557025.85
2048                 9112.12        4449277.47
4096                 8360.84        2041219.95
8192                13455.74        1642546.55
16384               22587.89        1378655.66
32768               28100.02         857544.54
65536               31692.65         483591.47
131072              33340.86         254370.56
262144              34229.50         130575.20
524288              36277.57          69193.98
1048576             37146.05          35425.23
2097152             35420.41          16889.77
4194304             35176.59           8386.75
