# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       4.26        4259284.76
2                       8.58        4288436.20
4                      17.17        4291357.42
8                      34.29        4286015.45
16                     68.79        4299501.10
32                    136.45        4264085.76
64                    271.21        4237639.68
128                   511.76        3998144.61
256                  1001.69        3912847.44
512                  1875.34        3662772.43
1024                 3705.94        3619077.81
2048                 6642.42        3243369.03
4096                 5737.86        1400844.68
8192                 9653.75        1178436.67
16384               15860.76         968064.11
32768               23200.58         708025.50
65536               27090.43         413367.11
131072              29318.47         223682.16
262144              30620.18         116806.72
524288              31273.03          59648.56
1048576             32874.97          31352.01
2097152             31885.14          15204.02
4194304             31875.36           7599.68
