# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.27
2                       0.28
4                       0.27
8                       0.27
16                      0.28
32                      0.29
64                      0.27
128                     0.28
256                     0.32
512                     0.30
1024                    0.34
2048                    0.39
4096                    0.80
8192                    1.09
16384                   1.70
32768                   2.73
65536                   4.18
131072                  6.80
262144                 12.74
524288                 25.41
1048576                49.40
2097152               102.92
4194304               244.94
