# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.86
2                      17.83
4                      33.78
8                      69.34
16                    138.70
32                    276.97
64                    555.31
128                  1025.31
256                  1855.58
512                  2973.76
1024                 5557.06
2048                 9003.65
4096                 8337.93
8192                13460.81
16384               22109.43
32768               28515.64
65536               31950.38
131072              33421.59
262144              34330.92
524288              34889.43
1048576             35222.35
2097152             35380.03
4194304             35172.07
