# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.79
2                      17.64
4                      33.86
8                      69.04
16                    139.89
32                    273.96
64                    550.26
128                  1025.42
256                  1875.91
512                  3061.00
1024                 5518.28
2048                 9302.77
4096                 8399.60
8192                13377.95
16384               21993.56
32768               28490.20
65536               31928.30
131072              33410.03
262144              34185.66
524288              34936.52
1048576             35096.85
2097152             35367.19
4194304             35252.84
