# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.29
2                       0.31
4                       0.29
8                       0.31
16                      0.30
32                      0.30
64                      0.31
128                     0.36
256                     0.33
512                     0.39
1024                    0.40
2048                    0.46
4096                    1.07
8192                    1.33
16384                   1.86
32768                   2.92
65536                   4.36
131072                  7.43
262144                 14.17
524288                 28.00
1048576                54.83
2097152               114.85
4194304               256.34
