# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       5.00
2                       9.89
4                      20.19
8                      40.31
16                     80.69
32                    160.14
64                    317.76
128                   622.96
256                  1238.44
512                  2005.40
1024                 3957.31
2048                 7006.04
4096                 6007.72
8192                10088.99
16384               16584.53
32768               22919.24
65536               27059.45
131072              29494.18
262144              30739.74
524288              31397.74
1048576             31701.22
2097152             31872.14
4194304             31845.67
