# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       5.04
2                      10.07
4                      20.11
8                      40.27
16                     80.73
32                    161.45
64                    316.58
128                   621.03
256                  1238.02
512                  2000.66
1024                 3974.96
2048                 6980.09
4096                 5967.80
8192                10011.36
16384               16592.36
32768               22956.65
65536               27051.95
131072              29602.45
262144              30736.90
524288              31357.29
1048576             31702.13
2097152             31762.40
4194304             31689.03
