# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.31
2                       0.30
4                       0.31
8                       0.31
16                      0.29
32                      0.31
64                      0.32
128                     0.32
256                     0.34
512                     0.39
1024                    0.41
2048                    0.47
4096                    1.05
8192                    1.33
16384                   1.86
32768                   2.93
65536                   4.44
131072                  7.56
262144                 14.39
524288                 28.05
1048576                55.20
2097152               115.10
4194304               258.63
