# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.28
2                       0.28
4                       0.28
8                       0.27
16                      0.27
32                      0.29
64                      0.27
128                     0.28
256                     0.30
512                     0.32
1024                    0.33
2048                    0.40
4096                    0.79
8192                    1.09
16384                   1.68
32768                   2.73
65536                   4.12
131072                  6.63
262144                 12.76
524288                 25.39
1048576                49.73
2097152               103.38
4194304               248.03
