# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.28
2                       0.29
4                       0.28
8                       0.27
16                      0.27
32                      0.28
64                      0.27
128                     0.29
256                     0.31
512                     0.32
1024                    0.32
2048                    0.40
4096                    0.79
8192                    1.12
16384                   1.67
32768                   2.77
65536                   4.16
131072                  6.87
262144                 12.87
524288                 25.55
1048576                49.75
2097152               104.61
4194304               250.81
