# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       7.57        7572118.51
2                      15.58        7789158.20
4                      31.61        7901728.18
8                      62.42        7802539.19
16                    124.24        7764850.25
32                    239.66        7489459.46
64                    507.33        7927057.20
128                   954.12        7454046.97
256                  1691.86        6608813.39
512                  3039.25        5936025.41
1024                 5736.01        5601572.57
2048                 9526.46        4651591.78
4096                 8371.35        2043787.77
8192                13476.71        1645105.67
16384               22579.69        1378154.68
32768               28116.58         858049.82
65536               31921.00         487075.83
131072              33353.54         254467.32
262144              34339.73         130995.69
524288              35140.30          67024.81
1048576             36581.32          34886.67
2097152             35445.92          16901.93
4194304             35349.24           8427.92
