# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.29
2                       0.30
4                       0.30
8                       0.31
16                      0.30
32                      0.29
64                      0.31
128                     0.33
256                     0.33
512                     0.38
1024                    0.41
2048                    0.47
4096                    1.06
8192                    1.32
16384                   1.86
32768                   2.92
65536                   4.37
131072                  7.44
262144                 13.98
524288                 27.87
1048576                55.15
2097152               115.14
4194304               257.23
