# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       5.01
2                      10.05
4                      20.16
8                      40.47
16                     80.61
32                    161.03
64                    315.37
128                   628.36
256                  1257.54
512                  2004.92
1024                 3931.85
2048                 6673.54
4096                 5891.07
8192                 9675.50
16384               16021.49
32768               22942.88
65536               26987.17
131072              29365.80
262144              30539.18
524288              32144.85
1048576             33219.96
2097152             31977.96
4194304             31728.38
