# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.30
2                       0.31
4                       0.29
8                       0.30
16                      0.31
32                      0.31
64                      0.30
128                     0.32
256                     0.36
512                     0.40
1024                    0.40
2048                    0.47
4096                    1.05
8192                    1.32
16384                   1.88
32768                   2.91
65536                   4.47
131072                  7.67
262144                 14.31
524288                 27.99
1048576                55.09
2097152               115.24
4194304               258.96
