# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       5.00
2                       9.93
4                      20.25
8                      40.44
16                     81.08
32                    160.58
64                    314.93
128                   623.16
256                  1241.11
512                  2002.98
1024                 3958.67
2048                 6988.61
4096                 5977.38
8192                10019.89
16384               16596.57
32768               22918.42
65536               27030.43
131072              29494.76
262144              30725.72
524288              31381.44
1048576             31658.00
2097152             31841.90
4194304             31789.49
