# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.54
2                       7.37
4                      14.82
8                      29.10
16                     57.12
32                    116.99
64                    229.76
128                   463.98
256                   876.77
512                  1166.07
1024                 2011.90
2048                 3629.06
4096                 3353.96
8192                 5118.30
16384                7613.55
32768                9474.18
65536               10507.74
131072              10892.45
262144              11102.27
524288              11237.43
1048576             11293.29
2097152             11329.22
4194304             11337.12
