# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.44
2                       7.02
4                      13.81
8                      27.27
16                     55.99
32                    114.17
64                    228.38
128                   434.29
256                   839.47
512                  1100.79
1024                 1948.83
2048                 3507.12
4096                 3280.27
8192                 4951.26
16384                7419.94
32768                9236.75
65536               10395.14
131072              10824.81
262144              11074.31
524288              11229.03
1048576             11298.81
2097152             11339.05
4194304             11359.26
