# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.07
2                       6.08
4                      12.25
8                      23.75
16                     49.44
32                     95.31
64                    188.22
128                   358.49
256                   687.26
512                  1140.84
1024                 2051.45
2048                 3517.60
4096                 2956.25
8192                 4672.18
16384                7136.48
32768                9044.50
65536                9995.16
131072              10613.61
262144              10856.78
524288              11026.32
1048576             11085.57
2097152             11125.32
4194304             11138.50
