# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.51
2                       6.76
4                      14.12
8                      28.07
16                     57.12
32                    114.21
64                    223.42
128                   443.35
256                   839.00
512                  1097.29
1024                 1981.37
2048                 3562.95
4096                 3363.27
8192                 4995.84
16384                7467.08
32768                9251.20
65536               10427.66
131072              10818.80
262144              11076.17
524288              11234.87
1048576             11312.60
2097152             11295.66
4194304             11366.09
