# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       2.24        2244640.18
2                       4.53        2263982.08
4                       9.05        2263668.34
8                      17.89        2236478.76
16                     35.91        2244671.19
32                     71.23        2225782.24
64                    142.92        2233086.11
128                   267.17        2087287.63
256                   521.57        2037388.82
512                  1120.30        2188081.47
1024                 2023.42        1975992.80
2048                 3543.11        1730033.89
4096                 3070.60         749659.04
8192                 4989.59         609081.34
16384                7347.91         448480.87
32768                9311.15         284153.86
65536               10198.09         155610.49
131072              10734.55          81898.14
262144              10911.77          41625.10
524288              11065.57          21105.90
1048576             11155.63          10638.84
2097152             11187.94           5334.83
4194304             11188.91           2667.64
