# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.46
2                       6.78
4                      13.95
8                      27.50
16                     56.23
32                    110.77
64                    223.89
128                   436.06
256                   833.15
512                  1120.44
1024                 2019.90
2048                 3663.07
4096                 3273.50
8192                 4912.82
16384                7364.60
32768                9185.04
65536               10364.01
131072              10765.23
262144              10992.45
524288              11125.56
1048576             11189.55
2097152             11183.21
4194304             11236.57
