# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.57
2                       0.57
4                       0.56
8                       0.58
16                      0.60
32                      0.57
64                      0.56
128                     0.61
256                     0.70
512                     0.75
1024                    0.86
2048                    0.97
4096                    1.93
8192                    2.79
16384                   4.33
32768                   6.88
65536                   9.81
131072                 15.37
262144                 27.23
524288                 52.55
1048576               106.21
2097152               207.68
4194304               411.75
