# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.59
2                       0.60
4                       0.57
8                       0.58
16                      0.57
32                      0.56
64                      0.56
128                     0.60
256                     0.60
512                     0.76
1024                    0.85
2048                    1.01
4096                    2.06
8192                    2.85
16384                   4.38
32768                   6.96
65536                   9.61
131072                 15.49
262144                 27.49
524288                 53.35
1048576               107.57
2097152               210.32
4194304               416.24
