# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.56
2                       7.20
4                      14.23
8                      28.90
16                     56.80
32                    113.26
64                    222.22
128                   453.55
256                   839.38
512                  1110.59
1024                 1974.68
2048                 3553.37
4096                 3302.79
8192                 5068.49
16384                7578.02
32768                9368.04
65536               10388.89
131072              10818.60
262144              11070.49
524288              11232.58
1048576             11302.43
2097152             11328.95
4194304             11356.05
