# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.11
2                       6.31
4                      12.52
8                      25.02
16                     50.02
32                     99.46
64                    192.07
128                   375.56
256                   719.27
512                  1178.14
1024                 2090.19
2048                 3629.72
4096                 3042.25
8192                 4768.38
16384                7209.76
32768                9143.67
65536               10073.09
131072              10649.50
262144              10864.65
524288              11043.42
1048576             11062.68
2097152             11131.66
4194304             11110.86
