# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       2.23        2233254.34
2                       4.51        2257341.76
4                       9.01        2253705.47
8                      17.84        2230221.67
16                     35.29        2205640.17
32                     70.36        2198759.17
64                    143.37        2240107.46
128                   268.13        2094783.86
256                   516.22        2016468.94
512                  1118.09        2183760.36
1024                 1971.85        1925632.32
2048                 3466.25        1692503.21
4096                 3013.49         735714.30
8192                 4933.47         602230.62
16384                7331.65         447488.54
32768                9233.35         281779.39
65536               10120.15         154421.27
131072              10700.00          81634.50
262144              10907.41          41608.47
524288              11096.96          21165.78
1048576             11059.12          10546.80
2097152             11179.23           5330.67
4194304             11181.08           2665.78
