# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       2.98        2975110.09
2                       5.97        2985217.48
4                      12.39        3097199.31
8                      24.08        3009520.95
16                     49.34        3083844.97
32                     98.56        3080049.77
64                    196.90        3076536.44
128                   388.94        3038626.45
256                   731.56        2857645.11
512                  1184.05        2312597.99
1024                 2177.58        2126542.01
2048                 3717.83        1815344.93
4096                 3245.74         792415.96
8192                 4979.25         607818.92
16384                7486.60         456945.88
32768                9303.46         283919.13
65536               10374.60         158303.79
131072              10747.50          81996.94
262144              10956.21          41794.61
524288              11088.63          21149.87
1048576             11152.22          10635.59
2097152             11199.87           5340.51
4194304             11179.17           2665.32
