# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.51
2                       6.91
4                      14.34
8                      27.95
16                     56.57
32                    110.50
64                    227.22
128                   440.80
256                   851.93
512                  1119.06
1024                 1972.06
2048                 3547.54
4096                 3302.41
8192                 4949.32
16384                7429.31
32768                9232.78
65536               10408.21
131072              10795.00
262144              11025.20
524288              11178.95
1048576             11253.04
2097152             11293.24
4194304             11295.97
