# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.56
2                       0.58
4                       0.58
8                       0.58
16                      0.58
32                      0.57
64                      0.57
128                     0.59
256                     0.63
512                     0.77
1024                    0.90
2048                    1.02
4096                    1.97
8192                    2.86
16384                   4.42
32768                   6.98
65536                   9.73
131072                 15.46
262144                 27.40
524288                 53.12
1048576               108.51
2097152               211.03
4194304               412.71
