# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       2.25        2250704.50
2                       4.52        2258144.20
4                       9.05        2262389.45
8                      18.09        2261155.31
16                     35.98        2249012.73
32                     70.60        2206182.28
64                    141.37        2208923.20
128                   268.99        2101465.93
256                   522.67        2041671.08
512                  1111.62        2171130.77
1024                 1981.90        1935447.85
2048                 3465.33        1692055.97
4096                 2943.90         718725.25
8192                 4826.20         589135.63
16384                7198.82         439381.39
32768                9153.44         279340.72
65536               10015.42         152823.25
131072              10617.30          81003.54
262144              10836.52          41338.03
524288              11018.18          21015.51
1048576             11059.86          10547.50
2097152             11108.59           5296.99
4194304             11097.15           2645.77
