# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.56
2                       0.55
4                       0.56
8                       0.51
16                      0.55
32                      0.52
64                      0.57
128                     0.56
256                     0.61
512                     0.72
1024                    0.82
2048                    0.96
4096                    2.03
8192                    2.78
16384                   4.30
32768                   6.84
65536                   9.44
131072                 15.31
262144                 27.37
524288                 52.71
1048576               107.43
2097152               210.35
4194304               415.58
