# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       3.18        3182069.36
2                       6.36        3178684.85
4                      12.91        3226632.63
8                      25.81        3225982.71
16                     52.38        3273859.92
32                    100.82        3150666.24
64                    208.33        3255177.54
128                   406.01        3171935.98
256                   776.56        3033454.69
512                  1240.08        2422028.29
1024                 2224.19        2172063.76
2048                 3817.65        1864085.07
4096                 3372.25         823302.66
8192                 5128.54         626042.84
16384                7671.19         468212.25
32768                9492.31         289682.39
65536               10517.52         160484.60
131072              10900.26          83162.36
262144              11150.07          42534.14
524288              11293.31          21540.27
1048576             11355.23          10829.19
2097152             11385.46           5429.01
4194304             11390.17           2715.63
