# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.57
2                       0.58
4                       0.58
8                       0.57
16                      0.56
32                      0.58
64                      0.57
128                     0.57
256                     0.62
512                     0.75
1024                    0.87
2048                    0.98
4096                    1.92
8192                    2.81
16384                   4.39
32768                   6.92
65536                   9.64
131072                 15.40
262144                 27.22
524288                 52.38
1048576               106.86
2097152               207.52
4194304               410.80
