# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       3.19        3186177.57
2                       6.15        3076725.75
4                      12.91        3227179.30
8                      25.48        3184980.11
16                     50.14        3133562.21
32                    100.85        3151587.67
64                    203.67        3182276.63
128                   404.12        3157224.97
256                   766.48        2994075.85
512                  1234.85        2411824.82
1024                 2199.08        2147541.04
2048                 3774.24        1842888.35
4096                 3320.22         810599.63
8192                 5017.95         612543.28
16384                7599.39         463829.67
32768                9415.47         287337.38
65536               10444.05         159363.52
131072              10872.33          82949.29
262144              11119.37          42417.02
524288              11275.02          21505.39
1048576             11338.13          10812.89
2097152             11386.65           5429.58
4194304             11396.12           2717.05
