# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.90
2                       5.74
4                      11.60
8                      22.82
16                     45.33
32                     90.74
64                    175.13
128                   337.20
256                   656.51
512                  1140.32
1024                 2098.49
2048                 3675.69
4096                 2960.34
8192                 4682.81
16384                7105.56
32768                9028.54
65536                9990.65
131072              10584.36
262144              10799.20
524288              10940.50
1048576             10981.49
2097152             11025.92
4194304             11029.35
