# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.55
2                       0.56
4                       0.58
8                       0.58
16                      0.54
32                      0.54
64                      0.56
128                     0.57
256                     0.59
512                     0.74
1024                    0.83
2048                    0.99
4096                    2.03
8192                    2.84
16384                   4.51
32768                   6.97
65536                   9.58
131072                 15.47
262144                 27.44
524288                 53.60
1048576               108.22
2097152               210.58
4194304               417.81
