# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.12
2                       6.19
4                      12.51
8                      24.41
16                     49.59
32                     96.79
64                    192.73
128                   370.86
256                   697.49
512                  1145.34
1024                 2047.81
2048                 3533.60
4096                 2993.91
8192                 4697.52
16384                7165.31
32768                9084.29
65536               10031.76
131072              10653.73
262144              10903.63
524288              11062.87
1048576             11132.43
2097152             11165.80
4194304             11146.29
