# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.57
2                       0.57
4                       0.55
8                       0.55
16                      0.55
32                      0.54
64                      0.54
128                     0.58
256                     0.59
512                     0.75
1024                    0.85
2048                    1.05
4096                    2.00
8192                    2.77
16384                   4.32
32768                   6.88
65536                   9.59
131072                 15.46
262144                 27.52
524288                 53.10
1048576               108.02
2097152               211.95
4194304               417.03
