# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.60
2                       0.61
4                       0.61
8                       0.60
16                      0.58
32                      0.59
64                      0.60
128                     0.61
256                     0.63
512                     0.75
1024                    0.90
2048                    1.02
4096                    2.10
8192                    2.98
16384                   4.54
32768                   7.01
65536                   9.76
131072                 15.62
262144                 27.70
524288                 53.56
1048576               108.89
2097152               210.48
4194304               416.48
