# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.04
2                       5.92
4                      12.21
8                      24.37
16                     48.70
32                     93.89
64                    187.76
128                   364.65
256                   703.69
512                  1128.57
1024                 2021.80
2048                 3505.20
4096                 2948.10
8192                 4639.29
16384                7127.41
32768                9008.00
65536                9954.08
131072              10624.91
262144              10833.67
524288              10984.41
1048576             11033.18
2097152             11064.55
4194304             11072.20
