# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.03
2                       5.95
4                      12.13
8                      23.67
16                     48.04
32                     93.07
64                    185.55
128                   349.68
256                   704.44
512                  1149.64
1024                 2063.97
2048                 3564.97
4096                 2965.63
8192                 4670.25
16384                7146.21
32768                9058.09
65536                9849.72
131072              10376.08
262144              10739.60
524288              11003.06
1048576             11056.21
2097152             11079.37
4194304             11089.65
